cNPDB ID,category,acknowledged_by,date,reason
542,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
549,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
560,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
566,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
574,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
579,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
580,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
582,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
585,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
590,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
591,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
593,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
594,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
597,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
598,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
600,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
604,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
608,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
625,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
628,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
634,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
635,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
636,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
637,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
652,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
681,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
846,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
847,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
848,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
849,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
850,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
851,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
852,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
853,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
854,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
892,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
939,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
941,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
977,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
978,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
1162,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
1241,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
1271,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
1276,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
1290,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
1344,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
1372,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
1411,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
1420,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
1447,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
1475,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
1495,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
1501,mass_discrepancy,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
13,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
23,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
31,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
32,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
40,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
47,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
50,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
54,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
60,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
64,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
65,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
68,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
70,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
74,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
80,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
81,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
82,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
85,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
86,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
90,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
100,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
103,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
109,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
115,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
116,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
117,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
121,missing_DOI,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
128,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
131,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
132,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
135,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
138,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
144,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
147,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
189,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
190,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
191,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
195,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
196,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
199,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
200,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
202,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
213,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
215,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
216,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
274,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
278,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
350,missing_DOI,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
384,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
387,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
391,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
392,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
393,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
394,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
395,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
396,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
398,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
399,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
400,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
401,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
402,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
404,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
429,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
440,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
452,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
453,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
454,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
455,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
494,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
496,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
503,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
505,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
507,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
520,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
531,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
538,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
541,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
564,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
569,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
575,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
586,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
588,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
589,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
592,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
602,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
607,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
611,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
613,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
616,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
632,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
641,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
642,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
699,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
749,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
752,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
753,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
754,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
755,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
756,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
757,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
758,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
759,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
760,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
761,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
762,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
763,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
764,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
765,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
766,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
767,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
768,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
769,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
770,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
771,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
772,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
773,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
774,missing_OS,acknowledged via Actions by laurenfields,2026-07-15,reviewed and accepted
